depth_cm;mean_age;sd_age
1;-56.57533;0.310460036
2;-49.16966;0.620679715
3;-41.76399;0.930970696
4;-34.35832;1.241279509
5;-26.95265;1.551595455
6;-19.54698;1.861914968
7;-12.14131;2.172236519
8;-4.73564;2.482559344
9;2.67003;2.792883018
10;10.0757;3.103207286
11;15.09019;2.709907022
12;20.10468;2.326589761
13;25.11917;1.95912404
14;30.13366;1.618344009
15;35.14815;1.325002228
16;40.16264;1.117115802
17;45.17713;1.046894345
18;50.19162;1.140066255
19;55.20611;1.363538633
20;60.2206;1.665667248
21;60.585355;1.824377061
22;60.95011;2.282893667
23;61.314865;2.902447741
24;61.67962;3.600854043
25;62.044375;4.340212477
26;62.40913;5.102752826
27;62.773885;5.879462222
28;63.13864;6.665389201
29;63.503395;7.457620125
30;63.86815;8.254340083
31;65.39284;8.220599528
32;66.91753;8.268421879
33;68.44222;8.396413612
34;69.96691;8.600996461
35;71.4916;8.876876483
36;73.01629;9.217654227
37;74.54098;9.616432822
38;76.06567;10.06632149
39;77.59036;10.5607904
40;79.11505;11.09388016
41;79.844863;11.0302266
42;80.574676;11.03234034
43;81.304489;11.10018379
44;82.034302;11.23256602
45;82.764115;11.42724424
46;83.493928;11.68110418
47;84.223741;11.99038745
48;84.953554;12.35093114
49;85.683367;12.75839023
50;86.41318;13.20842363
51;87.95724;16.27910182
52;89.5013;23.21748327
53;91.04536;31.56880701
54;92.58942;40.46755854
55;94.13348;49.62008349
56;95.67754;58.90821462
57;97.2216;68.27663206
58;98.76566;77.69629911
59;100.30972;87.1505994
60;101.85378;96.62936784
61;136.78938;96.49789221
62;171.72498;97.83700244
63;206.66058;100.5879827
64;241.59618;104.6395377
65;276.53178;109.8478531
66;311.46738;116.0572969
67;346.40298;123.116485
68;381.33858;130.8880016
69;416.27418;139.2526352
70;451.20978;148.1099296
71;458.3182;147.7490222
72;465.42662;148.3720277
73;472.53504;149.9666841
74;479.64346;152.502514
75;486.75188;155.9336075
76;493.8603;160.2024527
77;500.96872;165.2441359
78;508.07714;170.9903089
79;515.18556;177.372517
80;522.29398;184.324704
81;528.68508;182.8536175
82;535.07618;182.1374535
83;541.46728;182.1851151
84;547.85838;182.9960053
85;554.24948;184.5600644
86;560.64058;186.8583807
87;567.03168;189.8642914
88;573.42278;193.5448306
89;579.81388;197.8623546
90;586.20498;202.7761794
91;604.35068;201.0695929
92;622.49638;199.957562
93;640.64208;199.4500318
94;658.78778;199.5516148
95;676.93348;200.2613839
96;695.07918;201.5729149
97;713.22488;203.4745716
98;731.37058;205.9500079
99;749.51628;208.9788348
100;767.66198;212.5373948
101;779.01348;210.999356
102;790.36498;210.0901874
103;801.71648;209.8180641
104;813.06798;210.1854603
105;824.41948;211.1890385
106;835.77098;212.8197989
107;847.12248;215.0634748
108;858.47398;217.9011338
109;869.82548;221.3099289
110;881.17698;225.2639333
111;908.40218;223.0534078
112;935.62738;221.441576
113;962.85258;220.441571
114;990.07778;220.0617338
115;1017.30298;220.3052721
116;1044.52818;221.1701268
117;1071.75338;222.6490575
118;1098.97858;224.7299412
119;1126.20378;227.396253
120;1153.42898;230.6276894
121;1175.03948;227.657364
122;1196.64998;225.2499533
123;1218.26048;223.4236545
124;1239.87098;222.1927973
125;1261.48148;221.5673052
126;1283.09198;221.5523057
127;1304.70248;222.1479224
128;1326.31298;223.3492702
129;1347.92348;225.1466531
130;1369.53398;227.5259461
131;1372.0491;224.1063469
132;1374.56422;221.2597609
133;1377.07934;219.0085326
134;1379.59446;217.3711605
135;1382.10958;216.3615816
136;1384.6247;215.9885994
137;1387.13982;216.2555078
138;1389.65494;217.1599474
139;1392.17006;218.6940085
140;1394.68518;220.8445708
141;1413.31578;215.7975861
142;1431.94638;211.4364228
143;1450.57698;207.8042651
144;1469.20758;204.9398772
145;1487.83818;202.875782
146;1506.46878;201.6365582
147;1525.09938;201.2374449
148;1543.72998;201.6834298
149;1562.36058;202.9689422
150;1580.99118;205.0781951
151;1582.26465;200.5579848
152;1583.53812;196.5893963
153;1584.81159;193.2064245
154;1586.08506;190.4402807
155;1587.35853;188.318148
156;1588.632;186.8619691
157;1589.90547;186.0873784
158;1591.17894;186.0028914
159;1592.45241;186.6094454
160;1593.72588;187.9003484
161;1620.17958;182.1551903
162;1646.63328;177.0043057
163;1673.08698;172.500938
164;1699.54068;168.6969515
165;1725.99438;165.6405378
166;1752.44808;163.3736593
167;1778.90178;161.9294778
168;1805.35548;161.3300887
169;1831.80918;161.5848932
170;1858.26288;162.6898779
171;1885.65928;155.396228
172;1913.05568;149.0326084
173;1940.45208;143.7226093
174;1967.84848;139.5865248
175;1995.24488;136.7309284
176;2022.64128;135.2369589
177;2050.03768;135.1497789
178;2077.43408;136.4720843
179;2104.83048;139.1637031
180;2132.22688;143.147414
181;2156.95148;142.3464416
182;2181.67608;143.6293471
183;2206.40068;146.9415593
184;2231.12528;152.1506062
185;2255.84988;159.0702508
186;2280.57448;167.4886116
187;2305.29908;177.1922061
188;2330.02368;187.9821094
189;2354.74828;199.6823016
190;2379.47288;212.1422218
191;2412.17338;209.4981266
192;2444.87388;208.0051944
193;2477.57438;207.6882514
194;2510.27488;208.5526593
195;2542.97538;210.5838708
196;2575.67588;213.7486249
197;2608.37638;217.997559
198;2641.07688;223.2687838
199;2673.77738;229.4918669
200;2706.47788;236.5917098
201;2724.17058;233.2400369
202;2741.86328;230.9586346
203;2759.55598;229.7793841
204;2777.24868;229.7192595
205;2794.94138;230.7791356
206;2812.63408;232.9437252
207;2830.32678;236.1826563
208;2848.01948;240.4525183
209;2865.71218;245.6995693
210;2883.40488;251.8627435
211;2913.87008;246.4758258
212;2944.33528;242.1924358
213;2974.80048;239.071896
214;3005.26568;237.160113
215;3035.73088;236.4864036
216;3066.19608;237.0613237
217;3096.66128;238.8758579
218;3127.12648;241.9021124
219;3157.59168;246.0953894
220;3188.05688;251.3972983
221;3193.22812;242.6941755
222;3198.39936;234.9497348
223;3203.5706;228.2615754
224;3208.74184;222.7248742
225;3213.91308;218.4272103
226;3219.08432;215.4427457
227;3224.25556;213.826474
228;3229.4268;213.6094548
229;3234.59804;214.7959291
230;3239.76928;217.3629155
231;3264.83978;208.9183152
232;3289.91028;201.2979821
233;3314.98078;194.5987734
234;3340.05128;188.9187059
235;3365.12178;184.3520058
236;3390.19228;180.9829729
237;3415.26278;178.8792909
238;3440.33328;178.0858073
239;3465.40378;178.6199838
240;3490.47428;180.4700316
241;3493.61588;176.1689996
242;3496.75748;172.1571885
